"ticker.kalshi","title.kalshi","yes_sub_title.kalshi","id.polym","question.polym"
"KXCANLIBSEATS-25-109.5","between 100 to 119 Liberal Party seats won?","100 to 119",528922,"Will the Liberals win between 120-139 seats in the next Canadian Election?"
"KXCANLIBSEATS-25-109.5","between 100 to 119 Liberal Party seats won?","100 to 119",528923,"Will the Liberals win between 140-149 seats in the next Canadian Election?"
"KXCANLIBSEATS-25-109.5","between 100 to 119 Liberal Party seats won?","100 to 119",528924,"Will the Liberals win between 150-159 seats in the next Canadian Election?"
"KXCANLIBSEATS-25-109.5","between 100 to 119 Liberal Party seats won?","100 to 119",528925,"Will the Liberals win between 160-169 seats in the next Canadian Election?"
"KXCANLIBSEATS-25-109.5","between 100 to 119 Liberal Party seats won?","100 to 119",528926,"Will the Liberals win between 170-179 seats in the next Canadian Election?"
"KXCANLIBSEATS-25-109.5","between 100 to 119 Liberal Party seats won?","100 to 119",528927,"Will the Liberals win between 180-189 seats in the next Canadian Election?"
"KXCANLIBSEATS-25-109.5","between 100 to 119 Liberal Party seats won?","100 to 119",528928,"Will the Liberals win between 190-210 seats in the next Canadian Election?"
"KXCANLIBSEATS-25-109.5","between 100 to 119 Liberal Party seats won?","100 to 119",528929,"Will the Liberals win more than 210 seats in the next Canadian Election?"
"KXCRITICSFOREIGN-25-F","Will Flow win Best Foreign Language Film at the Critics Choice Awards?","Flow",521863,"Will 'All We Imagine as Light' win Best Foreign Language Film in the 2025 Critics' Choice Awards?"
"KXCRITICSFOREIGN-25-F","Will Flow win Best Foreign Language Film at the Critics Choice Awards?","Flow",521864,"Will 'Emilia Pérez' win Best Foreign Language Film in the 2025 Critics' Choice Awards?"
"KXCRITICSFOREIGN-25-F","Will Flow win Best Foreign Language Film at the Critics Choice Awards?","Flow",521865,"Will 'Flow' win Best Foreign Language Film in the 2025 Critics' Choice Awards?"
"KXCRITICSFOREIGN-25-F","Will Flow win Best Foreign Language Film at the Critics Choice Awards?","Flow",521866,"Will 'I’m Still Here' win Best Foreign Language Film in the 2025 Critics' Choice Awards?"
"KXCRITICSFOREIGN-25-F","Will Flow win Best Foreign Language Film at the Critics Choice Awards?","Flow",521867,"Will 'Kneecap' win Best Foreign Language Film in the 2025 Critics' Choice Awards?"
"KXCRITICSFOREIGN-25-F","Will Flow win Best Foreign Language Film at the Critics Choice Awards?","Flow",521868,"Will 'The Seed of the Sacred Fig' win Best Foreign Language Film in the 2025 Critics' Choice Awards?"
"KXSPOTIFYALBUMTSWIFT-25-OCT25","Will Taylor Swift release The Life of a Showgirl before 2025-10-25T14:00:00.000Z","Before Oct 25, 2025",575210,"Will Taylor Swift release “The Life of a Showgirl” before September"
"KXSPOTIFYALBUMTSWIFT-25-OCT25","Will Taylor Swift release The Life of a Showgirl before 2025-10-25T14:00:00.000Z","Before Oct 25, 2025",575211,"Will Taylor Swift release “The Life of a Showgirl” between September 1-15"
"KXSPOTIFYALBUMTSWIFT-25-OCT25","Will Taylor Swift release The Life of a Showgirl before 2025-10-25T14:00:00.000Z","Before Oct 25, 2025",575212,"Will Taylor Swift release “The Life of a Showgirl” between September 16-30"
"KXSPOTIFYALBUMTSWIFT-25-OCT25","Will Taylor Swift release The Life of a Showgirl before 2025-10-25T14:00:00.000Z","Before Oct 25, 2025",575213,"Will Taylor Swift release “The Life of a Showgirl” after September"
"KXMCPOKEMONLEGENDSZA-64","Pokemon Legends: Z-A Metacritic score 65 or greater?","65 or greater",570092,"""Pokemon Legends: Z-A"" Metascore <60"
"KXMCPOKEMONLEGENDSZA-64","Pokemon Legends: Z-A Metacritic score 65 or greater?","65 or greater",570093,"""Pokemon Legends: Z-A"" Metascore 60–69"
"KXMCPOKEMONLEGENDSZA-64","Pokemon Legends: Z-A Metacritic score 65 or greater?","65 or greater",570094,"""Pokemon Legends: Z-A"" Metascore 70–79"
"KXMCPOKEMONLEGENDSZA-64","Pokemon Legends: Z-A Metacritic score 65 or greater?","65 or greater",570095,"""Pokemon Legends: Z-A"" Metascore 80–89"
"KXMCPOKEMONLEGENDSZA-64","Pokemon Legends: Z-A Metacritic score 65 or greater?","65 or greater",570096,"""Pokemon Legends: Z-A"" Metascore 90+"
"KXRTROOFMAN-75","Roofman Rotten Tomatoes score Above 75?","Above 75",629160,"Will ""Roofman"" (2025) score at least 80 on the Rotten Tomatoes Tomatometer?"
"KXRTROOFMAN-75","Roofman Rotten Tomatoes score Above 75?","Above 75",629161,"Will ""Roofman"" (2025) score at least 82 on the Rotten Tomatoes Tomatometer?"
"KXRTROOFMAN-75","Roofman Rotten Tomatoes score Above 75?","Above 75",629162,"Will ""Roofman"" (2025) score at least 84 on the Rotten Tomatoes Tomatometer?"
"KXRTROOFMAN-75","Roofman Rotten Tomatoes score Above 75?","Above 75",629163,"Will ""Roofman"" (2025) score at least 86 on the Rotten Tomatoes Tomatometer?"
"KXRTROOFMAN-75","Roofman Rotten Tomatoes score Above 75?","Above 75",629164,"Will ""Roofman"" (2025) score at least 88 on the Rotten Tomatoes Tomatometer?"
"KXRTROOFMAN-75","Roofman Rotten Tomatoes score Above 75?","Above 75",629165,"Will ""Roofman"" (2025) score at least 90 on the Rotten Tomatoes Tomatometer?"
"KXRUBIO-25JUL01-RA","Will Roy Altman replace Marco Rubio as Florida Senator?","Roy Altman",513140,"Will Lara Trump be appointed as the next Florida senator?"
"KXRUBIO-25JUL01-RA","Will Roy Altman replace Marco Rubio as Florida Senator?","Roy Altman",513142,"Will James Uthmeier be appointed as the next Florida senator?"
"KXRUBIO-25JUL01-RA","Will Roy Altman replace Marco Rubio as Florida Senator?","Roy Altman",513143,"Will Jeanette Nunez be appointed as the next Florida senator?"
"KXRUBIO-25JUL01-RA","Will Roy Altman replace Marco Rubio as Florida Senator?","Roy Altman",513145,"Will Ron DeSantis be appointed as the next Florida senator?"
"KXRUBIO-25JUL01-RA","Will Roy Altman replace Marco Rubio as Florida Senator?","Roy Altman",513149,"Will Ashley Moody be appointed as the next Florida senator?"
"KXRUBIO-25JUL01-RA","Will Roy Altman replace Marco Rubio as Florida Senator?","Roy Altman",513150,"Will Casey DeSantis be appointed as the next Florida senator?"
"KXRUBIO-25JUL01-RA","Will Roy Altman replace Marco Rubio as Florida Senator?","Roy Altman",513152,"Will Jose Oliva be appointed as the next Florida senator?"
"KXRUBIO-25JUL01-RA","Will Roy Altman replace Marco Rubio as Florida Senator?","Roy Altman",513158,"Will Keith Rabois be appointed as the next Florida senator?"
"KXRUBIO-25JUL01-RA","Will Roy Altman replace Marco Rubio as Florida Senator?","Roy Altman",513159,"No Marco Rubio replacement as Florida senator?"
"KXRUBIO-25JUL01-RA","Will Roy Altman replace Marco Rubio as Florida Senator?","Roy Altman",513165,"Will Roy Altman be appointed as the next Florida senator?"
"KXRUBIO-25JUL01-RA","Will Roy Altman replace Marco Rubio as Florida Senator?","Roy Altman",513167,"Will Matt Gaetz be appointed as the next Florida senator?"
"KXRUBIO-25JUL01-RA","Will Roy Altman replace Marco Rubio as Florida Senator?","Roy Altman",513168,"Will James Fishback be appointed as the next Florida senator?"
"KXEOCOUNTDAY2-25JAN21-3.0","Will Trump issue between 1 to 5 executive orders on day one?","1 to 5",519391,"Will Trump sign 0 executive orders on January 21?"
"KXEOCOUNTDAY2-25JAN21-3.0","Will Trump issue between 1 to 5 executive orders on day one?","1 to 5",519392,"Will Trump sign between 1 and 3 executive orders on January 21?"
"KXEOCOUNTDAY2-25JAN21-3.0","Will Trump issue between 1 to 5 executive orders on day one?","1 to 5",519393,"Will Trump sign between 4 and 6 executive orders on January 21?"
"KXEOCOUNTDAY2-25JAN21-3.0","Will Trump issue between 1 to 5 executive orders on day one?","1 to 5",519394,"Will Trump sign between 7 and 9 executive orders on January 21?"
"KXEOCOUNTDAY2-25JAN21-3.0","Will Trump issue between 1 to 5 executive orders on day one?","1 to 5",519395,"Will Trump sign 10 or more executive orders on January 21?"
"KXRTTHEAMATEUR-57","The Amateur Rotten Tomatoes score Above 57?","Above 57",535364,"Will ""The Amateur"" Rotten Tomatoes score be less than 50?"
"KXRTTHEAMATEUR-57","The Amateur Rotten Tomatoes score Above 57?","Above 57",535365,"Will ""The Amateur"" Rotten Tomatoes score be between 50 and 55?"
"KXRTTHEAMATEUR-57","The Amateur Rotten Tomatoes score Above 57?","Above 57",535366,"Will ""The Amateur"" Rotten Tomatoes score be between 55 and 60?"
"KXRTTHEAMATEUR-57","The Amateur Rotten Tomatoes score Above 57?","Above 57",535367,"Will ""The Amateur"" Rotten Tomatoes score be between 60 and 65?"
"KXRTTHEAMATEUR-57","The Amateur Rotten Tomatoes score Above 57?","Above 57",535368,"Will ""The Amateur"" Rotten Tomatoes score be more than 65?"
"KXDOGEMAX69-25-JAN20-0.689","How high will Dogecoin get by Inauguration Day?","$0.69 or above",513547,"Will DOGE hit 69¢ by Inauguration Day?"
"KXGRAMBCA-67-T","Will Tie win Best Country Album at the Grammys?","Tie",518771,"Will 'Cowboy Carter' win Best Country Album?"
"KXGRAMBCA-67-T","Will Tie win Best Country Album at the Grammys?","Tie",518772,"Will 'F-1 Trillion' win Best Country Album?"
"KXGRAMBCA-67-T","Will Tie win Best Country Album at the Grammys?","Tie",518773,"Will 'Deeper Well' win Best Country Album?"
"KXGRAMBCA-67-T","Will Tie win Best Country Album at the Grammys?","Tie",518774,"Will 'Higher' win Best Country Album?"
"KXGRAMBCA-67-T","Will Tie win Best Country Album at the Grammys?","Tie",518775,"Will 'Whirlwind' win Best Country Album?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561973,"Will Donald Trump win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561974,"Will J.D. Vance win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561975,"Will Marco Rubio win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561976,"Will Tulsi Gabbard win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561977,"Will Glenn Youngkin win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561978,"Will Donald Trump Jr. win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561979,"Will Ron DeSantis win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561980,"Will Nikki Haley win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561981,"Will Vivek Ramaswamy win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561982,"Will Sarah Huckabee Sanders win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561983,"Will Greg Abbott win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561984,"Will Robert F. Kennedy Jr. win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561985,"Will Brian Kemp win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561986,"Will Byron Donalds win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561987,"Will Elise Stefanik win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561988,"Will Josh Hawley win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561989,"Will Ted Cruz win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561990,"Will Elon Musk win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561991,"Will Matt Gaetz win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561992,"Will Katie Britt win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561993,"Will John Thune win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561994,"Will Kristi Noem win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561995,"Will Mike Pence win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561996,"Will Tucker Carlson win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561998,"Will Ivanka Trump win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",561999,"Will Tom Brady win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",562000,"Will Rand Paul win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",562001,"Will Steve Bannon win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",562002,"Will Erika Kirk win the 2028 Republican presidential nomination?"
"KXPRESNOMR-28-GA","Will Greg Abbott be the nominee for the Presidency for the Republican party?","Greg Abbott",562003,"Will Kim Kardashian win the 2028 Republican presidential nomination?"
"KXNEXTDEF-29-SFEI","Will Steve Feinberg be Trump's next Secretary of Defense?","Steve Feinberg",513091,"Will Pete Hegseth be Trump's Defense Secretary?"
"KXNEXTDEF-29-SFEI","Will Steve Feinberg be Trump's next Secretary of Defense?","Steve Feinberg",513092,"Will Mike Waltz be Trump's Defense Secretary?"
"KXNEXTDEF-29-SFEI","Will Steve Feinberg be Trump's next Secretary of Defense?","Steve Feinberg",513093,"Will Tom Cotton be Trump's Defense Secretary?"
"KXNEXTDEF-29-SFEI","Will Steve Feinberg be Trump's next Secretary of Defense?","Steve Feinberg",513094,"Will Mike Pompeo be Trump's Defense Secretary?"
"KXNEXTDEF-29-SFEI","Will Steve Feinberg be Trump's next Secretary of Defense?","Steve Feinberg",513095,"Will Christopher Miller be Trump's Defense Secretary?"
"KXNEXTDEF-29-SFEI","Will Steve Feinberg be Trump's next Secretary of Defense?","Steve Feinberg",513096,"Will Robert O'Brien be Trump's Defense Secretary?"
"KXNEXTDEF-29-SFEI","Will Steve Feinberg be Trump's next Secretary of Defense?","Steve Feinberg",513097,"Will Mike Gallagher be Trump's Defense Secretary?"
"KXNEXTDEF-29-SFEI","Will Steve Feinberg be Trump's next Secretary of Defense?","Steve Feinberg",513098,"Will Joni Ernst be Trump's Defense Secretary?"
"KXNEXTDEF-29-SFEI","Will Steve Feinberg be Trump's next Secretary of Defense?","Steve Feinberg",513099,"Will Thomas Massie be Trump's Defense Secretary?"
"KXNEXTDEF-29-SFEI","Will Steve Feinberg be Trump's next Secretary of Defense?","Steve Feinberg",513100,"Will Mike Rogers be Trump's Defense Secretary?"
"KXNEXTDEF-29-SFEI","Will Steve Feinberg be Trump's next Secretary of Defense?","Steve Feinberg",513102,"Will Ron DeSantis be Trump's Defense Secretary?"
"KXNEXTDEF-29-SFEI","Will Steve Feinberg be Trump's next Secretary of Defense?","Steve Feinberg",513103,"Will Elbridge Colby be Trump's Defense Secretary?"
"KXPRESTAIWAN-28-WLAI","Will William Lai win the next Taiwanese presidential election?","William Lai",252836,"Taiwan Presidential Election: Will Lai Ching-te win?"
"KXPRESTAIWAN-28-WLAI","Will William Lai win the next Taiwanese presidential election?","William Lai",253220,"Taiwan Presidential Election: Will Hou Yu-ih win?"
"KXPRESTAIWAN-28-WLAI","Will William Lai win the next Taiwanese presidential election?","William Lai",253221,"Taiwan Presidential Election: Will Ko Wen-je win?"
"KXEOCOUNTDAY1-25JAN20-1","Will Trump issue 1 executive orders on the first day?","1",517888,"Will Trump issue less than 10 executive orders on Day 1?"
"KXEOCOUNTDAY1-25JAN20-1","Will Trump issue 1 executive orders on the first day?","1",517889,"Will Trump issue 10-14 executive orders on Day 1?"
"KXEOCOUNTDAY1-25JAN20-1","Will Trump issue 1 executive orders on the first day?","1",517890,"Will Trump issue 15-19 executive orders on Day 1?"
"KXEOCOUNTDAY1-25JAN20-1","Will Trump issue 1 executive orders on the first day?","1",517891,"Will Trump issue 20-24 executive orders on Day 1?"
"KXEOCOUNTDAY1-25JAN20-1","Will Trump issue 1 executive orders on the first day?","1",517892,"Will Trump issue 25-29 executive orders on Day 1?"
"KXEOCOUNTDAY1-25JAN20-1","Will Trump issue 1 executive orders on the first day?","1",517893,"Will Trump issue 30-34 executive orders on Day 1?"
"KXEOCOUNTDAY1-25JAN20-1","Will Trump issue 1 executive orders on the first day?","1",517894,"Will Trump issue 35-39 executive orders on Day 1?"
"KXEOCOUNTDAY1-25JAN20-1","Will Trump issue 1 executive orders on the first day?","1",517895,"Will Trump issue 40 or more executive orders on Day 1?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",544998,"Will JD Vance say ""Coin"" 25+ times during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",544999,"Will JD Vance say ""Coin"" 35+ times during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545000,"Will JD Vance say ""Coin"" 50+ times during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545001,"Will JD Vance say ""Trump"" 10+ times during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545002,"Will JD Vance say ""Million"", ""Billion"", and/or ""Trillion"" 5+ times during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545003,"Will JD Vance say ""Inflation"" 3+ times during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545004,"Will JD Vance say ""Reserve"" during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545005,"Will JD Vance say ""Decentralized"" during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545006,"Will JD Vance say ""Biden"" during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545007,"Will JD Vance say ""David Sacks"" during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545008,"Will JD Vance say ""Tariff"" during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545009,"Will JD Vance say ""China"" during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545010,"Will JD Vance say ""Gold"" during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545011,"Will JD Vance say ""Bank"" during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545012,"Will JD Vance say ""Dinner"" during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545013,"Will JD Vance say ""Free speech"" during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545014,"Will JD Vance say ""Blockchain"" during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545015,"Will JD Vance say ""Fund"" during Bitcoin 2025 appearance on May 28?"
"KXBTCMENTIONVANCE-25MAY28-HAR","What will JD Vance say during Keynote Address at the  Bitcoin 2025 Conference originally scheduled for Wednesday May 28th at 9:00 AM ET?","Harris",545016,"Will JD Vance say ""AI"" or ""Artificial Intelligence"" during Bitcoin 2025 appearance on May 28?"
"KXRTSUPERMAN-80","Superman Rotten Tomatoes score Above 80?","Above 80",551885,"Will ""Superman"" Rotten Tomatoes score be less than 60?"
"KXRTSUPERMAN-80","Superman Rotten Tomatoes score Above 80?","Above 80",551886,"Will ""Superman"" Rotten Tomatoes score be between 60–69?"
"KXRTSUPERMAN-80","Superman Rotten Tomatoes score Above 80?","Above 80",551887,"Will ""Superman"" Rotten Tomatoes score be between 70–74?"
"KXRTSUPERMAN-80","Superman Rotten Tomatoes score Above 80?","Above 80",551888,"Will ""Superman"" Rotten Tomatoes score be between 75–79?"
"KXRTSUPERMAN-80","Superman Rotten Tomatoes score Above 80?","Above 80",551889,"Will ""Superman"" Rotten Tomatoes score be between 80–89?"
"KXRTSUPERMAN-80","Superman Rotten Tomatoes score Above 80?","Above 80",551890,"Will ""Superman"" Rotten Tomatoes score be 90 or higher?"
"PRESPARTYMS-24-R","Will the Republican party win Mississippi in the presidential election?","Donald Trump",255153,"Will a Democrat win Mississippi Presidential Election?"
"PRESPARTYMS-24-R","Will the Republican party win Mississippi in the presidential election?","Donald Trump",255154,"Will a candidate from another party win Mississippi Presidential Election?"
"PRESPARTYMS-24-R","Will the Republican party win Mississippi in the presidential election?","Donald Trump",255155,"Will a Republican win Mississippi Presidential Election?"
"KXPRESNOMD-28-GN","Will Gavin Newsom be the nominee for the Presidency for the Democratic party?","Gavin Newsom",559652,"Will Gavin Newsom win the 2028 Democratic presidential nomination?"
"KXPRESNOMD-28-GN","Will Gavin Newsom be the nominee for the Presidency for the Democratic party?","Gavin Newsom",559653,"Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?"
"KXPRESNOMD-28-GN","Will Gavin Newsom be the nominee for the Presidency for the Democratic party?","Gavin Newsom",559654,"Will Pete Buttigieg win the 2028 Democratic presidential nomination?"
"KXPRESNOMD-28-GN","Will Gavin Newsom be the nominee for the Presidency for the Democratic party?","Gavin Newsom",559655,"Will Josh Shapiro win the 2028 Democratic presidential nomination?"
"KXPRESNOMD-28-GN","Will Gavin Newsom be the nominee for the Presidency for the Democratic party?","Gavin Newsom",559656,"Will Wes Moore win the 2028 Democratic presidential nomination?"
"KXPRESNOMD-28-GN","Will Gavin Newsom be the nominee for the Presidency for the Democratic party?","Gavin Newsom",559657,"Will Stephen A. Smith win the 2028 Democratic presidential nomination?"
"KXPRESNOMD-28-GN","Will Gavin Newsom be the nominee for the Presidency for the Democratic party?","Gavin Newsom",559658,"Will Kamala Harris win the 2028 Democratic presidential nomination?"
"KXPRESNOMD-28-GN","Will Gavin Newsom be the nominee for the Presidency for the Democratic party?","Gavin Newsom",559659,"Will Gretchen Whitmer win the 2028 Democratic presidential nomination?"
