"event_ticker.kalshi","event_title.kalshi","event_id.polym","event_title.polym","same_question"
"KXMAYORALBUQ-25","Who will win the Mayor election in Albuquerque?",33857,"Albuquerque Mayoral Election","FALSE"
"KXMAYORMINN-26","Who will win the Mayor election in Minneapolis?",33820,"Minneapolis Mayoral Election","FALSE"
"KXCANCONSEATS-25","How many seats will the Conservatives win in the Canadian election?",21182,"# seats Conservatives win in Canadian Election?","TRUE"
"KXJAMAICANHOR-26","Who will win Jamaica House of Representatives?",37341,"Jamaica House of Representatives Election Winner","TRUE"
"PRESPARTYAZ-24","Who will win Arizona in the presidential election?",903636,"Who will win Arizona?","TRUE"
"KXPCTVOTECUOR1-25","Andrew Cuomo NYC Primary First Round Percent of Vote",28202,"Andrew Cuomo 1st round % of vote in NYC Dem mayoral primary?","TRUE"
"KXELECTIONICOAST-26","Who will win Ivory Coast Presidential Election?",24214,"Ivory Coast Presidential Election","FALSE"
"KXNYCMAYOR2ND-25","Second place in NYC Mayoral election?",26863,"2nd Place in New York City Mayoral Election","TRUE"
"KXBOLIVIAFIRSTROUND-25","Who will win the first round of the Bolivian presidential election?",32586,"Bolivia Presidential Election 1st round winner?","TRUE"
"KXPARTYWINNL-25","Who will win the Netherlands general election?",902875,"Netherlands General Election: Which party will win the most seats?","TRUE"
"PRESPARTYRI-24","Who will win Rhode Island in the presidential election?",903670,"Rhode Island Presidential Election Winner","TRUE"
"KXCANNDPSEATS-25","How many seats will the New Democratic Party win in the Canadian election?",21305,"# of seats NDP win in Canadian Election?","TRUE"
"KXMAYORCLEV-25","Who will win the Mayor election in Cleveland?",33859,"Cleveland Mayoral Election","FALSE"
"KXMAYORNOLA-25","Who will win the Mayor election in New Orleans?",33842,"New Orleans Mayoral Election","FALSE"
"KXPRESNIGERIA-27","Who will win the next Nigerian presidential election?",899343,"Who will win the 2023 Nigerian Presidential Election?","TRUE"
"PRESPARTYMT-24","Who will win Montana in the presidential election?",903633,"Montana Presidential Election Winner","TRUE"
"KXVOTEPERCENTSLIWA-25NOV04","What % of the vote will Sliwa get in the NYC mayoral election?",42272,"Curtis Sliwa % of vote in 2025 NYC mayoral election?","TRUE"
"KXVOTEPERCENTMAMDANI-25NOV04","What % of the vote will Mamdani get in the NYC mayoral election?",32592,"How many boroughs will Mamdani win in NYC Mayoral Election?","FALSE"
"KXMAYORDETROIT-25","Who will win the Mayor election in Detroit?",33850,"Detroit Mayoral Election","FALSE"
"PRESPARTYNC-24","Who will win North Carolina in the presidential election?",4697,"Which party will win North Carolina in the 2020 presidential election?","TRUE"
"KXMAYORPITT-25","Who will win the Mayor election in Pittsburgh?",33861,"Pittsburgh Mayoral Election","FALSE"
"KXSECONDPLACENJGOVDNOM-25","Who will get second place in the New Jersey Democratic primary for Governor?",26483,"2nd Place in New Jersey Governor Democratic Primary","TRUE"
"PRESPARTYME-24","Who will win Maine in the presidential election?",903660,"Maine Presidential Election Winner","TRUE"
"PRESPARTYAK-24","Who will win Alaska in the presidential election?",903635,"Alaska Presidential Election Winner","TRUE"
"KXCDUPERCENT-25","What share of the vote will the CDU/CSU get in the German election?",15627,"CDU/CSU % of vote in German Election?","TRUE"
"PRESPARTYND-24","Who will win North Dakota in the presidential election?",903652,"North Dakota Presidential Election Winner","TRUE"
"KXNYCMAYORTHIRDPLACE-25","Who will be 3rd in the NYC Democratic Mayoral primary?",4105,"Who will come in second place in the 2021 Democratic Primary for Mayor of New York City?","FALSE"
"KXLISBONMAYOR-25OCT12","Who will win the 2025 Lisbon mayoral election?",41682,"Lisbon Mayoral Election","FALSE"
"PRESPARTYWY-24","Who will win Wyoming in the presidential election?",903684,"Wyoming Presidential Election Winner","TRUE"
"KXAFDPERCENT-25","What share of the vote will the AfD get in the German election?",15625,"AfD % of vote in German Election?","TRUE"
"PRESPARTYMI-24","Who will win Michigan in the presidential election?",903665,"Who will win Michigan?","TRUE"
"PRESPARTYID-24","Who will win Idaho in the presidential election?",903651,"Idaho Presidential Election Winner","TRUE"
"PRESPARTYHI-24","Who will win Hawaii in the presidential election?",903649,"Hawaii Presidential Election Winner","TRUE"
"PRESPARTYGA-24","Who will win Georgia in the presidential election?",3840,"Which party will win Georgia in the 2020 presidential election?","TRUE"
"PRESPARTYNM-24","Who will win New Mexico in the presidential election?",10169,"New Mexico Presidential Election Winner","TRUE"
"KXMAYORSEATTLE-25","Who will win the Mayor election in Seattle?",33847,"Seattle Mayoral Election","FALSE"
"KXPRESROMANIA24","Who will win the Romanian presidential election?",15369,"Romania Presidential Election 1st round winner?","TRUE"
"KXNY8D-26","Who will be the Democratic nominee for NY-8?",5948,"Who will win the Democratic nomination for the NY-10 House election?","FALSE"
"PRESPARTYNE1-24","Who will win NE-1 (Nebraska's first Congressional district) in the presidential election?",10164,"Nebraska's 1st Congressional District Presidential Election Winner","TRUE"
"KXCZECHTURNOUT-25OCT042","What will voter turnout be in the Czech election?",39637,"Turnout in 2025 Czech Parliamentary Election?","TRUE"
"PRESPARTYUT-24","Who will win Utah in the presidential election?",903676,"Utah Presidential Election Winner","TRUE"
"KXNORWAYSECOND-25SEP08-2","Who will finish 2nd in the Norway election?",38905,"Which Party wins 2nd most seats in Norway election?","TRUE"
"KXARGENTINAPRES-27","Who will win the next Argentine presidential election?",901930,"Argentina Presidential Election: Who will win?","TRUE"
"KXGUYANAPRES-25","Who will win the Guyana Presidential Election?",37346,"Guyana Presidential Election","FALSE"
"PRESPARTYSD-24","Who will win South Dakota in the presidential election?",903672,"South Dakota Presidential Election Winner","TRUE"
"PRESPARTYNE3-24","Who will win NE-3 (Nebraska's third Congressional district) in the presidential election?",10173,"Nebraska's 3rd Congressional District Presidential Election Winner","TRUE"
"PRESPARTYAR-24","Who will win Arkansas in the presidential election?",903638,"Arkansas Presidential Election Winner","TRUE"
"PRESPARTYVT-24","Who will win Vermont in the presidential election?",903677,"Vermont Presidential Election Winner","TRUE"
"KXGER2ND-25","Who will get 2nd in the German election?",15619,"Which Party wins 2nd most seats in German election?","TRUE"
"KXVOTEPERCENTNOLABOUR-25SEP08","What % of the vote will the Labour Party get in the Norwegian election?",38538,"Will the Labour Party (Ap) win 27% or more of vote in Norwegian election?","TRUE"
"PRESPARTYNE2-24","Who will win NE-2 (Nebraska's second Congressional district) in the presidential election?",10172,"Nebraska's 2nd Congressional District Presidential Election Winner","TRUE"
"PRESPARTYTX-24","Who will win Texas in the presidential election?",4488,"Which party will win Texas in the 2020 presidential election?","FALSE"
"PRESPARTYNE-24","Who will win Nebraska in the presidential election?",903634,"Nebraska Presidential Election Winner","TRUE"
"PRESPARTYDE-24","Who will win Delaware in the presidential election?",10166,"Delaware Presidential Election Winner","TRUE"
"KXGROENSEATS-25OCT29","How many seats will GroenLinks–PvdA win in the Netherlands election?",45469,"Netherlands parliamentary election: GroenLinks–PvdA seats","TRUE"
"PRESPARTYME1-24","Who will win ME-1 (Maine's first Congressional district) in the presidential election?",10174,"Maine's 1st Congressional District Presidential Election Winner","TRUE"
"KXDUTCHSECOND-25OCT29-2","Who will finish 2nd in the Netherlands general election?",26087,"Which Party wins 2nd most seats in Netherlands election?","TRUE"
"PRESPARTYMD-24","Who will win Maryland in the presidential election?",903663,"Maryland Presidential Election Winner","TRUE"
"PRESPARTYWI-24","Who will win Wisconsin in the presidential election?",903683,"Who will win Wisconsin?","TRUE"
"PRESPARTYME2-24","Who will win ME-2 (Maine's second Congressional district) in the presidential election?",10175,"Maine's 2nd Congressional District Presidential Election Winner","TRUE"
"KXBOLIVIASENATE-25","Who will win the next Bolivian Senate election?",34049,"Bolivia Senate Election Winner","TRUE"
"PRESPARTYFL-24","Who will win Florida in the presidential election?",3846,"Which party will win Florida in the 2020 presidential election?","TRUE"
"PRESPARTYTN-24","Who will win Tennessee in the presidential election?",903673,"Tennessee Presidential Election Winner","TRUE"
"PRESPARTYLA-24","Who will win Louisiana in the presidential election?",903659,"Louisiana Presidential Election Winner","TRUE"
"KXPRESCAMEROON-25OCT12","Who will win the 2025 Cameroon presidential election?",24208,"Cameroon Presidential Election","FALSE"
"PRESPARTYCT-24","Who will win Connecticut in the presidential election?",903642,"Connecticut Presidential Election Winner","TRUE"
"KXMAYORBOSTON-25","Who will win the Mayor election in Boston?",33846,"Boston Mayoral Election","FALSE"
"KXUKPARTY-29","Which party will win the next U.K. election?",10516,"Which party wins the most seats after UK Election?","FALSE"
"PRESPARTYIL-24","Who will win Illinois in the presidential election?",903653,"Illinois Presidential Election Winner","TRUE"
